org_id,count
RCCN,11040
CLOUDASSETS,48
LITECOM,126
GANDI-AS,11980
MASTER-AS,24641
DATAHOP,3582
AminIDC,2845
FEDnetAS1,220
WEBWORLD-AS,2627
SECUREDSERVERS-EU,197
CELYA,29
IDNIC-DISKOMINFODKI-AS-ID,680
OZON-AS,1569
NCORE-AS,2043
VKONTAKTE-SPB-AS,4593
BUPA-AUS-HEALTH-AS-AP,154
PIP-AS-AP,24
DUZONBIZON-AS-KR,178
SNAKER-AS-AP,582
ARDH-AS-ID,3187
CORPEX-AS,178
RMIFL,2380
ASN-IINET,3017
HOFMEIR-AS,3040
VIRTUALTEC,726
CYBERSPACE-IN,363
HKU-AS-HK,2772
MAHAONLINE-AS-IN,226
ntt-bizlink,458
ITANDTEL-AS,1360
CESCA-AC,7208
HostLAB,1456
Brightstar,588
ZYLON-AS,1708
TUNISIANA,6119
EMERION-AS,726
SC,1157
HCLC-AS-KR,1087
ESUNHK-AS-AP,1026
NTT-LTD-2914,4377
MNSHA-AS,3802
Gulfnet-Kuwait,561
RUNNET,4473
RH,1532
HKBNES-AS-AP,1929
Bulinfo-AS12982,546
NL-SOLCON,3430
CENTRALNIC-ANYCAST-A,7858
UTORONTO-AS,1809
COLT,19183
hostbaran-com,927
IDNIC-DISKOMINFO-JEPARA-AS-ID,261
Shaparak,1324
INCDFP-AS,126
GRANSY,16832
NEWMEDIAEXPRESS-AS-AP,2702
RADORE,21042
Clouvider,1125
ASN-VODAFONE-HU,505
AU-SYD-MARLINK-MSS,87
GLOBALHOST-BOSNIA-AS,2863
airee,2100
VirtualInfrastructuresLLC-AS,2653
COIG-AS,833
WIZ-JP-AS-AP,474
SHINJIRU-MY-AS-AP,5330
Host-Africa-AS,4007
ASBKN,462
SFU-AS,2360
NETCREW,62
PROVIDERBOX,2070
CASAWEB-AS,1563
MARWAN-AS,1223
CENTDEVTEL-NON-AS-AP,98
EgyptCyberCenter-AS,128
JCCM,1126
BEZEQ-INTERNATIONAL-AS,22928
ODINS,582
HBONE-AS,9259
QTLTELECOM-AS-AP,70
EPAG-AS,9109
LUUTRUSO-AS-VN,60
EL-Khawarizmi,1008
SBN-AWN-AS-02-AP,1638
FairyHosting,393
TEUTONET,207
DE-CORP,693
VIACOMKFT,1331
kunsan-as,42
OOOVPS-AS,26985
DAOU-AS-KR,6580
SERVIHOSTING-AS,2739
internetbilisim,4516
TVP-AS,1252
SERBIA-BROADBAND-AS,17941
RUDN-AS,431
TPNET,9524
WEBWEB-HK,9672
Sindad,2021
AS-CHOOPA,318062
EMIND,571
REMOTE24-AS,220
INMOTION,31950
CYBERNETICOS,3404
ERX-RADNET1-AS,808
SPU-AS-AP,70
SUEC-DACOR-AS,655
mmr,376
ZDNS,4130
DEPPERIN-AS-ID,199
SPEEDBONE-AS,784
AS-FR-LIR-FIRSTWAN-2011-047,3063
HCL,112
BEON-AS-ID,5869
UNI2-AS,2163
Olleh-Rwanda-Networks,1615
SITEHOST-AS-AP,6333
EdgeCenterLLC,2942
AZDIGI-AS-VN,3707
CDN77,542
NOCSER-MY,187
CARNet-AS,7496
GlobalConnect-AS31027,1573
KOREAEXIM-AS-KR,8
Fiord-AS,3635
PAGM-AS,1265
MWN-AS,3304
NKN-EDGE-NW,1554
BEE-AS,2036
ORIONTELEKOM-AS,7519
VECTANT,5656
PRINCESS-COM,148
MASSEY-AS,424
ONNET-AS-OWN,319
UITM-AS-AP,1239
HUTCHISON-AS-AP,2616
ANGANI-AS,2436
IDNIC-KLH-ID,302
CentralNic-Anycast-G,3383
FASTBIT-AS,107
RSAWEB-AS,8765
Serveurcom,2661
ZENON-AS,4185
TUMS-IR-AS,758
DAIMLER-AS,7177
AMAYAMA-AS,3709
UN-UNLB,3145
PROLOCATION,5087
BELWUE,9689
INFB-AS9115,10405
OCTOPUCE-AS,2133
KENET-AS,5570
BREGISTRY-AS-KR,138
AS43260,4514
tznic,1290
GENESYS-AS,25126
Verdina,818
HCL-TECH-IN,396
ICDSoft,11705
AS-TBNLTN,7072
GR-NET,10939
Webhuset-AS,1900
UTA-AS,963
CITC-AS,166
LDCOMNET,4861
IDNIC-NETSENTRA-AS-ID,67
PWC-AS,1952
VI-UK,96
AS49126,10184
LEASEWEB-APAC-HKG-10,2964
Simply-Romford,844
RAINS-AS,128
IP-PROJECTS,4663
ANGOLATELECOM,271
GRIFFEL,471
SIEL,7885
CHINANET-Henan-Luoyang-IDC,2294
THEHOST-AS,5983
INFRABLOCKS,562
POL,5575
